lat,lon,aqi,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,date
24.728972,112.282027,85,85.0,36.0,23.6,7.8,6.1,6.4,9.2,94.7,1008.9,1.0,8.4,99.8,2025-11-23
24.7929,112.391601,85,85.0,42.0,26.4,6.0,5.6,6.4,9.2,94.7,1008.9,1.0,8.4,99.8,2025-11-23
22.944338,115.644099,61,61.0,28.0,36.6,7.4,5.1,10.0,23.3,49.0,1019.0,3.0,12.0,,2025-11-23
22.972396,115.324567,63,63.0,39.0,32.5,8.3,3.1,7.3,23.3,49.0,1019.0,3.0,12.0,,2025-11-23
23.4433,116.1057,95,95.0,55.0,31.7,12.8,5.6,5.5,22.0,49.0,1021.0,0.5,11.0,,2025-11-23
24.775104,113.284707,91,91.0,48.0,25.6,6.4,4.6,6.4,17.5,54.8,1009.5,1.0,8.3,,2025-11-23
22.8168,113.4922,109,109.0,58.0,50.6,18.8,11.7,6.4,24.0,38.0,1021.0,3.6,9.0,,2025-11-23
23.496093,113.790235,65,65.0,33.0,33.8,6.9,5.1,4.6,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
23.2614,113.8051,85,85.0,37.0,33.3,6.9,5.6,5.5,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
24.959292,114.070703,95,95.0,46.0,22.4,9.2,6.1,4.6,17.5,54.8,1009.5,1.0,8.3,,2025-11-23
22.925278,113.881944,89,89.0,56.0,34.2,28.4,6.1,6.4,24.0,38.0,1021.0,3.6,9.0,,2025-11-23
22.1163,113.5433,102,102.0,51.0,45.5,13.8,5.6,3.7,21.5,60.0,1021.0,5.1,13.5,,2025-11-23
23.17846,112.989113,85,85.0,51.0,28.1,14.2,6.6,3.7,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
23.530838,112.880875,82,82.0,36.0,39.0,7.8,12.2,3.7,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
22.652147,113.272734,87,87.0,55.0,28.9,22.4,6.6,5.5,24.0,38.0,1021.0,3.6,9.0,,2025-11-23
22.382749,112.713362,114,114.0,53.0,33.8,12.8,5.6,5.5,21.5,60.0,1021.0,5.1,13.5,,2025-11-23
22.250069,112.80873,102,102.0,53.0,33.8,17.4,7.6,6.4,21.5,60.0,1021.0,5.1,13.5,,2025-11-23
23.8825,113.5238,132,132.0,53.0,27.7,8.3,14.2,9.1,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
23.559154,113.146471,82,82.0,48.0,28.5,11.0,9.2,7.3,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
24.174395,113.41942,119,119.0,65.0,12.2,20.6,10.7,9.1,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
24.407083,114.939138,132,132.0,55.0,27.7,15.1,10.2,9.1,19.7,46.8,989.2,1.0,8.0,,2025-11-23
24.375277,114.473055,59,59.0,30.0,39.8,3.7,4.6,4.6,19.7,46.8,989.2,1.0,8.0,,2025-11-23
24.366944,114.492777,76,76.0,32.0,31.3,8.3,4.1,3.7,19.7,46.8,989.2,1.0,8.0,,2025-11-23
24.111183,115.283371,87,87.0,42.0,32.5,6.9,6.1,4.6,19.9,49.8,1008.9,1.0,9.1,99.1,2025-11-23
23.644268,115.195303,74,74.0,35.0,29.3,6.0,3.6,7.3,19.9,49.8,1008.9,1.0,9.1,99.1,2025-11-23
24.394411,116.10794,80,80.0,51.0,24.4,6.9,5.1,4.6,20.0,50.8,1008.6,1.0,9.5,99.1,2025-11-23
